Sl. No.,State,District,ODOP
673, UTTAR PRADESH,Mau,Mango  
674, UTTAR PRADESH,Meerut,Jaggery
675, UTTAR PRADESH,Mirzapur,Tomato  
676, UTTAR PRADESH,Moradabad,Honey
677, UTTAR PRADESH,Muzaffarnagar,Jaggery
678, UTTAR PRADESH,Pilibhit,Jaggery
679, UTTAR PRADESH,Pratapgarh,Aonla  
680, UTTAR PRADESH,Prayagraj,Guava  
681, UTTAR PRADESH,Rae Bareli,Aonla  
682, UTTAR PRADESH,Rampur,Mint  
683, UTTAR PRADESH,Saharanpur,Honey
684, UTTAR PRADESH,Sambhal,Mint  
685, UTTAR PRADESH,Sant Kabir Nagar,Kala Namak Rice
686, UTTAR PRADESH,Shahjahanpur,Jaggery
687, UTTAR PRADESH,Shamali,Jaggery
688, UTTAR PRADESH,Shrawasti,Banana  
689, UTTAR PRADESH,Siddharth nagar,Kala Namak Rice
690, UTTAR PRADESH,Sitapur,Mango  
691, UTTAR PRADESH,Sonbhadra,Tomato  
692, UTTAR PRADESH,Sultanpur,Mint  
693, UTTAR PRADESH,Unnao,Mango  
694, UTTAR PRADESH,Varanasi,Chilli  
695,UTTARAKHAND,Almora,Apricot  
696,UTTARAKHAND,Bageshwar,Kiwi  
697,UTTARAKHAND,Chamoli,Fish  
698,UTTARAKHAND,Champawat,Tejpata  
699,UTTARAKHAND,Dehradun,Bakery 
700,UTTARAKHAND,Haridwar,Mushroom
701,UTTARAKHAND,Nainital,Fruit Juice  Squash Peach 
702,UTTARAKHAND,Pauri,Citrus   Malta
703,UTTARAKHAND,Pithoragarh,Turmeric  
704,UTTARAKHAND,Rudraprayag,Amaranthas  
705,UTTARAKHAND,Tehri,Ginger  
706,UTTARAKHAND,Udham Singh Nagar,Mango  
707,UTTARAKHAND,Uttarkashi,Apple  
